source,controller,controller_label,joint,angle_deg,case,file,phase_counts,tracking_phase_definition,tracking_samples,tracking_duration_s,tracking_rate_hz,desired_delta_deg,actual_delta_deg,achieved_pct,cmd_joint_signed_final_error_deg,cmd_joint_final_abs_error_deg,cmd_joint_max_abs_error_deg,cmd_joint_rms_error_deg,cmd_joint_final_abs_error_rad,cmd_joint_max_abs_error_rad,cmd_joint_rms_error_rad,cmd_joint_max_abs_torque_nm,all_joint_max_abs_error_deg,all_joint_rms_error_deg,all_joint_max_abs_error_rad,all_joint_rms_error_rad,all_joint_max_abs_torque_nm,torque_measure_prefix,sdk_feedforward_cmd_joint_max_abs_torque_nm,sdk_feedforward_all_joint_max_abs_torque_nm,return_present,return_samples,return_duration_s,return_final_cmd_abs_error_deg,return_final_all_joint_max_abs_error_deg,return_desired_back_to_start_deg,return_completed_successfully
sdk,sdk_lowcmd,Unitree SDK LOWCMD,1,5.0,J1 +5 deg,sdk_lowcmd/workspace_j1_pos5deg_sdk_lowcmd.csv,outbound:1248;outbound_hold:723;return:1750,outbound+outbound_hold,1971,7.996554648000256,246.48115179115285,4.999999999999995,4.979542584208626,99.59085168417263,0.020447170507613226,0.020447170507613226,0.16895965915485175,0.10430521818001404,0.00035687044807453105,0.002948902355299543,0.0018204694842522925,1.1540855169296265,0.16895965915485175,0.052429903085282926,0.002948902355299543,0.0009150744353397204,7.359782695770264,tau_state,0.002832812556416331,7.376654790502986,True,1750,6.991666674000044,0.09251832740240772,0.2190702067785196,0.0,True
sdk,sdk_lowcmd,Unitree SDK LOWCMD,1,10.0,J1 +10 deg,sdk_lowcmd/workspace_j1_pos10deg_sdk_lowcmd.csv,outbound:1206;outbound_hold:752;return:1825,outbound+outbound_hold,1958,7.998635277000176,244.79175911797947,10.000000000000002,9.979442547238476,99.79442547238475,0.02058135842362125,0.02058135842362125,0.24341790640057742,0.1217082816052426,0.0003592124690252607,0.004248443925001455,0.002124210240955933,1.3082919120788574,0.24341790640057742,0.058571040352773496,0.004248443925001455,0.0010222575004743585,7.3690032958984375,tau_state,0.005666403900594779,7.375548158288449,True,1825,6.995642105000115,0.09323549726525905,0.21919058886264106,0.0,True
sdk,sdk_lowcmd,Unitree SDK LOWCMD,1,30.0,J1 +30 deg,sdk_lowcmd/workspace_j1_pos30deg_sdk_lowcmd.csv,outbound:1224;outbound_hold:745;return:1766,outbound+outbound_hold,1969,7.997784590000265,246.1931773533719,29.999999999999993,29.981931569376787,99.93977189792265,0.01810258156905456,0.01810258156905456,0.4082821596813387,0.18067151710675539,0.0003159496514908433,0.0071258679635926025,0.003153312838086141,2.092926502227783,0.4082821596813387,0.07922218662722601,0.0071258679635926025,0.0013826879972745154,7.368464946746826,tau_state,0.017001556382089302,7.3744863135587035,True,1766,6.995251713000016,0.09353602558873962,0.19570220863720192,0.0,True
sdk,sdk_lowcmd,Unitree SDK LOWCMD,2,5.0,J2 +5 deg,sdk_lowcmd/workspace_j2_pos5deg_sdk_lowcmd.csv,outbound:1224;outbound_hold:699;return:1749,outbound+outbound_hold,1923,7.999240433000068,240.39782478181996,5.0,4.896184942299908,97.92369884599816,0.10381494574131,0.10381494574131,0.1575759450181302,0.10892557349871994,0.001811912615965125,0.0027502190625079276,0.0019011098971757423,5.404542446136475,0.1575759450181302,0.05567717490970447,0.0027502190625079276,0.0009717500203831195,7.3687944412231445,tau_state,3.804854679546294,7.485327922728432,True,1749,6.99429249700006,9.700836302868451e-07,0.19699738325856558,0.0,True
sdk,sdk_lowcmd,Unitree SDK LOWCMD,2,10.0,J2 +10 deg,sdk_lowcmd/workspace_j2_pos10deg_sdk_lowcmd.csv,outbound:1282;outbound_hold:754;return:1716,outbound+outbound_hold,2036,7.998666350999883,254.5424337827877,10.0,9.895768198428195,98.95768198428195,0.10423174372947402,0.10423174372947402,0.22199782419156344,0.12446552015780679,0.0018191871131742754,0.003874592964406301,0.0021723331319611007,5.620362281799316,0.22199782419156344,0.060616227749236876,0.003874592964406301,0.0010579527543629352,7.367059707641602,tau_state,3.806840928956905,7.540132529116306,True,1716,6.999038752999695,5.839209346357565e-07,0.19492121919429325,0.0,True
sdk,sdk_lowcmd,Unitree SDK LOWCMD,2,30.0,J2 +30 deg,sdk_lowcmd/workspace_j2_pos30deg_sdk_lowcmd.csv,outbound:1236;outbound_hold:723;return:1752,outbound+outbound_hold,1959,7.999080535999838,244.90314745345123,29.999999999999996,29.890860761361754,99.63620253787252,0.10913923863824376,0.10913923863824376,0.3987017855457224,0.17669686196003395,0.001904839057357166,0.006958658891353192,0.0030839420191445133,6.166650295257568,0.3987017855457224,0.07894408774409979,0.006958658891353192,0.001377834256117844,7.409066200256348,tau_state,3.811019916211762,7.543906453374939,True,1752,6.993448837999949,1.2360020212061495e-06,0.19691862263969886,0.0,True
sdk,sdk_lowcmd,Unitree SDK LOWCMD,3,-30.0,J3 -30 deg,sdk_lowcmd/workspace_j3_neg30deg_sdk_lowcmd.csv,outbound:1254;outbound_hold:729;return:1776,outbound+outbound_hold,1983,7.997663767999711,247.9474078335712,-29.999999999999996,-29.91890079612734,99.72966932042446,-0.08110824853722534,0.08110824853722534,0.37787459735729145,0.17754772401178584,0.0014156059875004567,0.0065951558835326,0.0030987923634278585,9.656352996826172,0.37787459735729145,0.07951141190854767,0.0065951558835326,0.0013877359307135854,9.656352996826172,tau_state,7.381984068311948,7.381984068311948,True,1776,6.9942927700003565,0.027473368719318478,0.1855489189925664,0.0,True
sdk,sdk_lowcmd,Unitree SDK LOWCMD,3,-10.0,J3 -10 deg,sdk_lowcmd/workspace_j3_neg10deg_sdk_lowcmd.csv,outbound:1273;outbound_hold:756;return:1757,outbound+outbound_hold,2029,7.99810171099989,253.68519597712677,-10.0,-9.906791212419225,99.06791212419225,-0.09320499896021985,0.09320499896021985,0.2221522443238806,0.12986082932655188,0.0016267341111737277,0.0038772881041466006,0.0022664990411187407,9.22831916809082,0.2221522443238806,0.06154089672671118,0.0038772881041466006,0.001074091272510911,9.22831916809082,tau_state,7.373279271841635,7.373279271841635,True,1757,6.995981252000092,0.027446928416711123,0.1980718573923732,0.0,True
sdk,sdk_lowcmd,Unitree SDK LOWCMD,3,-5.0,J3 -5 deg,sdk_lowcmd/workspace_j3_neg5deg_sdk_lowcmd.csv,outbound:1275;outbound_hold:799;return:1741,outbound+outbound_hold,2074,7.997484382000039,259.33154738857104,-5.0,-4.904257037525572,98.08514075051144,-0.09574026775135681,0.09574026775135681,0.17488408680315407,0.11975090018041866,0.0016709828990021242,0.003052303124058603,0.0020900474903753773,9.176281929016113,0.17488408680315407,0.058074514494245215,0.003052303124058603,0.0010135914894217485,9.176281929016113,tau_state,7.37199256516109,7.37199256516109,True,1741,6.992080083000019,0.02746309675513701,0.2024769025202083,0.0,True
sdk,sdk_lowcmd,Unitree SDK LOWCMD,4,-30.0,J4 -30 deg,sdk_lowcmd/workspace_j4_neg30deg_sdk_lowcmd.csv,outbound:1291;outbound_hold:744;return:1774,outbound+outbound_hold,2035,7.999103772000126,254.40350044254532,-29.999999999999996,-29.829367768320328,99.4312258944011,-0.17062540149050004,0.17062540149050004,0.5208709570540949,0.2573597551201444,0.002977975043546466,0.00909091317860794,0.004491775088972855,4.788595676422119,0.5208709570540949,0.10776100377623854,0.00909091317860794,0.0018807843211494054,7.626385688781738,tau_state,2.135346953119014,7.370680477586808,True,1774,6.992590874000143,0.04136746759500535,0.10830460212159969,0.0,True
sdk,sdk_lowcmd,Unitree SDK LOWCMD,4,-10.0,J4 -10 deg,sdk_lowcmd/workspace_j4_neg10deg_sdk_lowcmd.csv,outbound:1245;outbound_hold:734;return:1751,outbound+outbound_hold,1979,7.993364525999823,247.58035162326885,-10.0,-9.820352073543246,98.20352073543246,-0.1796530490986316,0.1796530490986316,0.2843699063996542,0.19586657131926466,0.003135537218018153,0.004963191160262059,0.003418516564113462,3.975531578063965,0.2843699063996542,0.0839046675744699,0.004963191160262059,0.0014644127069658244,7.358494281768799,tau_state,2.1346288555427084,7.36703561826813,True,1751,6.997277243000099,0.04132904778092403,0.1243051740260008,0.0,True
sdk,sdk_lowcmd,Unitree SDK LOWCMD,4,-5.0,J4 -5 deg,sdk_lowcmd/workspace_j4_neg5deg_sdk_lowcmd.csv,outbound:1257;outbound_hold:748;return:1756,outbound+outbound_hold,2005,7.99980094700004,250.63123611242898,-5.000000000000001,-4.819401542041684,96.38803084083366,-0.18063431645145925,0.18063431645145925,0.23776853500416195,0.18260478147430756,0.003152663564167324,0.004149843793466015,0.0031870546666114123,3.8784961700439453,0.23776853500416195,0.07872415223830233,0.004149843793466015,0.0013739956573996393,7.359351634979248,tau_state,2.134835895324059,7.367016709885791,True,1756,6.993769182000051,0.04133971995150217,0.1327741817099935,0.0,True
